timestamp,total_energy,heat_pump,Tout,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max
2018-07-09 07:15:00,818.2535539415147,657.855109998915,16.60000038147,7,0.9659258262890683,-0.25881904510252063,28.5,11.39999961853,18.88984382400903,15.981250345707188,0.4904823717526928,364.41761093139644,929.7281111823193,531.3686284391968,81.09313368770614,0,2,7,-66.65800086127388,3073.79133639865
2018-07-09 07:30:00,362.6749989827478,214.73911081949882,17.10000038147,7,0.9659258262890683,-0.25881904510252063,28.5,11.39999961853,18.907031325002446,16.39375036954906,0.5803644857648484,364.41761093139644,851.5825543721517,530.221064762716,272.5759263456632,0,2,7,-455.5785549587669,3073.79133639865
2018-07-09 07:45:00,770.9339994642473,611.4555543687612,17.60000038147,7,0.9659258262890683,-0.25881904510252063,28.5,11.39999961853,18.925520906845673,16.85000038147,0.645497224368509,364.41761093139644,794.5937767028811,528.571333304158,235.69605495968744,0,2,7,408.2590004814995,3073.79133639865
2018-07-09 08:00:00,815.4984439425991,671.4255547417529,18.10000038147,8,0.8660254037844387,-0.4999999999999998,28.5,11.39999961853,18.945312569538704,17.35000038147,0.6454972243684242,364.41761093139644,793.2162217034232,528.2424895940004,220.51247585572227,0,2,7,44.56444447835179,3073.79133639865
2018-07-09 08:15:00,927.6123326619464,677.4969984266493,18.4500002861025,8,0.8660254037844387,-0.4999999999999998,28.5,11.39999961853,18.96406256655848,17.812500357628124,0.5893145392199761,364.41761093139644,793.2162217034232,534.4801944441265,246.64115103608225,0,2,7,112.1138887193473,3073.79133639865
2018-07-09 08:30:00,635.6217758178709,356.49055447048613,18.800000190735,8,0.8660254037844387,-0.4999999999999998,28.5,11.39999961853,18.98177089790499,18.237500309944373,0.5121441024078371,367.13355437384723,793.2162217034232,537.8497245223434,120.77082730621079,0,2,7,-291.9905568440755,3073.79133639865
2018-07-09 08:45:00,313.19866739908764,90.12877807617184,19.1500000953675,8,0.8660254037844387,-0.4999999999999998,28.5,11.39999961853,18.99843756357825,18.62500023841875,0.4518479339390485,367.13355437384723,725.560109880235,537.7410543971591,268.3203159604117,0,2,7,-322.4231084187833,3073.79133639865
2018-07-09 09:00:00,239.81466640896278,90.37399987114802,19.5,9,0.7071067811865476,-0.7071067811865475,28.5,11.39999961853,19.01406256357825,18.97500014305125,0.451847933938962,367.13355437384723,474.4102216084793,535.6701516160258,316.46924644598107,0,2,7,-73.38400099012486,3073.79133639865
2018-07-09 09:15:00,249.8654431660969,90.09277708265516,19.75,9,0.7071067811865476,-0.7071067811865475,28.5,11.39999961853,19.027343814571662,19.300000071525623,0.4143266749218915,367.13355437384723,281.5320552825923,533.5520300670906,186.84333987957257,0,2,7,10.050776757134116,3073.79133639865
2018-07-09 09:30:00,231.31022296481666,89.70333362155496,20.0,9,0.7071067811865476,-0.7071067811865475,28.5,11.39999961853,19.038281316558482,19.600000023841876,0.36285897819482216,367.13355437384723,244.84005478752982,530.3548171202341,37.21521428696759,0,2,7,-18.555220201280235,3073.79133639865
